name,type,district,sub_district,address,phone,email,website,operator,lat,lon,osm_id,source
Government Medical College Ernakulam,Medical College,Ernakulam,Kochi,"Ernakulam, Kerala, 683503",,,https://www.cmccochin.org/,government,10.0533957,76.3557689,way/209966301,OpenStreetMap
Malankara Orthodox Syrian Church Medical College,Medical College,Ernakulam,,"Ernakulam, Kerala, 682311",,,https://www.moscmm.org/,Malankara Orthodox Syrian Church,9.9829097,76.4751165,way/138913422,OpenStreetMap
Palluruthy Government Hospital,Hospital,Ernakulam,,"Ernakulam, Kerala, 682006",,,,,9.9172926,76.2792219,node/7726235688,OpenStreetMap
Primary Health Centre Ayyampilly,Primary Health Centre (PHC),Ernakulam,,"Ernakulam, Kerala, 682501",,,,,10.1267958,76.1976849,way/950003513,OpenStreetMap
"Taluk Headquarters Hospital, North Paravur",Taluk Hospital,Ernakulam,,"Aluva - Paravur Road, North Paravur, Ernakulam, Kerala, 691504",,,,Department of Health services,10.1496178,76.2325511,way/366631591,OpenStreetMap
"Urban Primary Health Centre, Chalikkavattom",Primary Health Centre (PHC),Ernakulam,,"Ernakulam, Kerala, 682028",,,,National Urban Health Mission,9.9824178,76.3241707,node/7726235658,OpenStreetMap
ഇഎസ്ഐ ഡിസ്പെൻസറി,Clinic,Ernakulam,,"സിവിൽ സ്റ്റേഷൻ റോഡ്, മുവാറ്റുപുഴ, Ernakulam, Kerala, 686669",+914852813634,,https://www.esic.nic.in/,കേരള സർക്കാർ,10.0009577,76.5670628,node/7726206246,OpenStreetMap
Community Health Centre Vandenmedu,Community Health Centre (CHC),Idukki,,"Idukki, Kerala, 685551",,,,Department of Health and Family Welfare,9.6977943,77.1620451,node/6957652523,OpenStreetMap
"Community health centre, Vandiperiyar",Community Health Centre (CHC),Idukki,,"Idukki, Kerala, 685533",,,,Department of Health Services,9.5802851,77.0980033,way/945044087,OpenStreetMap
Family Health Centre Elamdesam,Family Health Centre (FHC),Idukki,,"Thodupuzha, Idukki",,,,Government Hospital,9.8622381,76.8024832,way/936996300,OpenStreetMap
Primary Health Centre Kumily,Primary Health Centre (PHC),Idukki,,"Idukki, Kerala, 685509",,,,Department of Health and Family Welfare,9.6059027,77.1627166,node/6950768008,OpenStreetMap
"Primary Health Centre, Peruvanthanam",Primary Health Centre (PHC),Idukki,,"Idukki, Kerala, 685532",,,,Department of Health and Family Welfare,9.5527601,76.9261696,node/7726160816,OpenStreetMap
Tata Global Beverages Limited General Hospital,General Hospital,Idukki,,"Idukki, Kerala, 685612",,,,,10.0882921,77.0561072,node/2635014311,OpenStreetMap
Community Health Centre - Kadaplamattom,Community Health Centre (CHC),Kottayam,,"Palayam - Kadaplamatom, Kadaplamattom, KOTTAYAM, kerala, 686571",+91-4822-251499,chckadaplamattom@gmail.com,,Department of Health Services,9.7163909,76.6104572,way/744317096,OpenStreetMap
Community Health Center Mayyil,Community Health Centre (CHC),Kannur,,"Kannur, Kerala, 670602",,,,Department of Health and Family Welfare,11.9947131,75.4481531,node/6965686465,OpenStreetMap
Pariyaram Medical College Hospital,Medical College,Kannur,,"Kannur, Kerala, 670503",+91 497 2808111,,,,12.0712983,75.2935,node/1685145232,OpenStreetMap
"Primary Health Centre, Pariyaram",Primary Health Centre (PHC),Kannur,,Kannur,,,,Government,12.0625456,75.3268533,way/826948318,OpenStreetMap
District Hospital's Blood Bank,District Hospital,Kasaragod,,"Kanhangad, Kasaragod, Kerala, 671315",+91-4672204333,dhbbkngd@gmail.com,,government,12.3143092,75.1048616,node/6885045527,OpenStreetMap
Family Health Centre,Family Health Centre (FHC),Kasaragod,,"Kasaragod, Kerala, 671323",,,,,12.7528748,74.9517429,node/7719654146,OpenStreetMap
General Hospital's Blood Bank,General Hospital,Kasaragod,,"Kasaragod, Kasaragod, Kerala, 671121",+91-4994225580,,,government,12.503341,74.9915948,node/6885045522,OpenStreetMap
Azeezia Medical College Hospital,Medical College,Kollam,,"Kollam, Kerala, 691537",,,http://www.azeezia.com/,,8.8895422,76.7376821,node/6950260657,OpenStreetMap
"Bishop Benziger Hospital, Kollam",Hospital,Kollam,,"Kollam, Kerala",,,,government,8.881349,76.5930609,way/332859315,OpenStreetMap
"District TB Centre, Kollam",Hospital,Kollam,,"Kollam, Kerala",,,,government,8.8881187,76.5882912,way/863543352,OpenStreetMap
ESI Hospital,Hospital,Kollam,,"Kollam, Kerala, 691501",,,,Employees' State Insurance,8.9498261,76.6637029,node/7730499873,OpenStreetMap
ESI Hospital,Hospital,Kollam,,"Kollam, Kerala, 691305",,,,Employees' State Insurance,9.022225,76.926094,node/7730588844,OpenStreetMap
FAMILY HEALTH CENTRE (FHC)THEKKUMBHAGAM,Family Health Centre (FHC),Kollam,,"Chavara South, Kollam, Kerala",,,,GOVT,8.9611015,76.5613179,node/7730499863,OpenStreetMap
Government Hospital's Blood Bank,Blood_Donation,Kollam,,"Punalur, Kollam, Kerala, 691305",+91-4752222702,,,government,9.019167,76.9248898,node/6884939743,OpenStreetMap
"Nani Memorial Hospital, Kollam",Hospital,Kollam,,"Olayil, Kollam, Kollam, Kerala, 691009",,,,government,8.8933643,76.581052,way/265735747,OpenStreetMap
Primary Health Centre,Primary Health Centre (PHC),Kollam,,"Kollam, Kerala",,,,government,8.883894,76.5767077,way/863537215,OpenStreetMap
"Primary Health Centre, Mayyanad",Primary Health Centre (PHC),Kollam,,Kollam,,,,government,8.8519631,76.6222259,way/863533532,OpenStreetMap
"Primary Health Centre, Sakthikulangara",Primary Health Centre (PHC),Kollam,,"Kollam, Kerala",,,,government,8.9115883,76.5478478,way/863538183,OpenStreetMap
"Primary Health Centre, Sakthikulangara",Primary Health Centre (PHC),Kollam,,"Kollam, Kerala",,,,government,8.9185539,76.5607646,way/863540472,OpenStreetMap
"Primary Health Centre, Shakthikulangara",Primary Health Centre (PHC),Kollam,,"Kollam, Kerala, 691581",,,,Department of Health and Family Welfare,8.9254002,76.547138,way/997453992,OpenStreetMap
"Primary Health Sub Centre, Maruthady",Primary Health Centre (PHC),Kollam,,"Kollam, Kerala",,,,government,8.9170871,76.5456581,way/863539043,OpenStreetMap
"Primary Health Sub Centre, Sakthikulangara",Primary Health Centre (PHC),Kollam,,"Kollam, Kerala",,,,government,8.9110475,76.5661968,way/863541001,OpenStreetMap
Taluk Head Quarters Hospital's Blood Bank,Taluk Hospital,Kollam,,"Kottakkara, Kollam, Kerala, 691506",+91-4742452610,,,government,9.0041046,76.775822,node/6884939732,OpenStreetMap
Taluk Headquarters Hospital Punalur,Taluk Hospital,Kollam,,"Kollam, Kerala, 691305",,,,government,9.0195351,76.9250137,way/321763078,OpenStreetMap
Travancore Medical College Hospital,Medical College,Kollam,,"Kollam, Kerala, 691589",,,http://tmc.ac.in/,,8.8750545,76.6445619,way/240940366,OpenStreetMap
"Urban Primary Health Centre ,Mundakkal",Primary Health Centre (PHC),Kollam,,"Kollam, Kerala",,,,government,8.8763441,76.5918301,way/863535361,OpenStreetMap
"Urban Primary Health Centre, Mundakkal",Primary Health Centre (PHC),Kollam,,"Kollam, Kerala",,,,government,8.8745974,76.601541,way/863535185,OpenStreetMap
"Urban Primary Health Centre, Vaddy",Primary Health Centre (PHC),Kollam,,"Kollam, Kerala, 691013",,,,National Urban Health Mission,8.884121,76.576654,node/7730499877,OpenStreetMap
"Urban Primary Health Centre, Vadi",Primary Health Centre (PHC),Kollam,,"Kollam, Kerala",,,,government,8.880959,76.5822755,way/863536395,OpenStreetMap
"Urban Primary Health Sub Centre, Vadi",Primary Health Centre (PHC),Kollam,,"Kollam, Kerala",,,,government,8.8979863,76.5662582,way/863541779,OpenStreetMap
"24*7 primary Health Centre, Ettumanoor",Primary Health Centre (PHC),Kottayam,,"Police Station Road, Ettumanur,Kottayam, Kottayam, Kerala, 686631",+91-481-2535573,kmchetr@gmail.com,,department of health services,9.6708555,76.5557088,way/864194297,OpenStreetMap
Community Health Centre Edayirikkapuzha,Community Health Centre (CHC),Kottayam,,"Kanam - Edayarikkappuzha Road, Edayirikkapuzha, Kottayam, Kerala, 686517",+91-481-2494332,chcepuzha@gmail.com,,Department of Health and Family Welfare,9.5154648,76.7085953,way/864139875,OpenStreetMap
Community Health Centre Sachivothampuram,Community Health Centre (CHC),Kottayam,,"sachivothampuram, Kottayam, Kerala, 686532",+91-481-2431700,chcspuram@gmail.com,,Department of Health and Family Welfare,9.5068845,76.5262749,way/455239905,OpenStreetMap
"Community Health Centre, Arunoottimangalam",Community Health Centre (CHC),Kottayam,,"Kaduthuruthy Road, Arunoottimangalam, Kottayam, Kerala, 686612",+91-4829-252376,chcarmangalam@rediffmail.com,,Department of Health Services,9.800549,76.4972535,node/7213540053,OpenStreetMap
"Community Health Centre, Edamaruku",Community Health Centre (CHC),Kottayam,,"Sabarimala - Kodaikkanal Road, Edamaruku, Kottayam, Kerala, 686652",+91-4822-220101,chcedamaruku@gmail.com,,Department of Health Services,9.7567292,76.7601045,node/6956419976,OpenStreetMap
"Community Health Centre, Koodalloor",Community Health Centre (CHC),Kottayam,,"Vayala-Koodalloor Market Road, Koodalloor, Kottayam, Kerala, 686587",+91-4822-254110,phckoodalloor@gmail.com,,Department of Health Services,9.7054772,76.5878953,way/655224473,OpenStreetMap
"Community Health Centre, Koottickal",Community Health Centre (CHC),Kottayam,,"thalunkal road, Koottickal, Kottayam, Kerala, 686514",+91-4828284612,chckoottickal@gmail.com,,Department of Health Services,9.5850298,76.8855683,node/6965686445,OpenStreetMap
"community health centre, paika",Community Health Centre (CHC),Kottayam,,"1352, Pala-Ponkunam Road, Paika, Kottayam, Kerala, 686577",+91-4822-225347,chcpaika@gmail.com,,department of health services,9.6516027,76.7245188,way/742748967,OpenStreetMap
"Community Health Centre, Ullanadu",Community Health Centre (CHC),Kottayam,,"Pravithanam Road, Ullanadu, Kottayam, kerala, 686651",+91-4822-247343,mochcullanadu@gmail.com,,DEPARTMENT OF HEALTH SERVICES,9.7490441,76.7212406,way/801508283,OpenStreetMap
District Hospital Kottayam,District Hospital,Kottayam,,Kottayam,,,,department of health services,9.5903999,76.5258659,way/686238557,OpenStreetMap
ESI Hospital,Hospital,Kottayam,,"Kottayam, Kerala, 686010",,,,Employees' State Insurance,9.598346,76.5639493,node/7733212388,OpenStreetMap
family health centre panachikkadu,Family Health Centre (FHC),Kottayam,,Kottayam,,,,,9.5398287,76.5346724,way/955254033,OpenStreetMap
General Hospital,General Hospital,Kottayam,,"Kottayam, Kerala, 686575",,,,DEPARTMENT OF HEALTH SERVICES,9.711455,76.6809641,node/690414609,OpenStreetMap
"Government Medical College, Kottayam",Medical College,Kottayam,,"Kottayam, Kerala, 686008",,,,,9.6342032,76.5211886,way/111545559,OpenStreetMap
Kerala State Homeo Medical College and Hospital,Medical College,Kottayam,,"Kottayam, Kerala, 686532",,,,,9.5095851,76.533903,node/7733212393,OpenStreetMap
Kottayam General Hospital's Blood Bank,General Hospital,Kottayam,,"Kottayam, Kottayam, Kerala, 686002",+91-4812563611,,,government,9.5900972,76.525872,node/6881037820,OpenStreetMap
Paika CHC,Community Health Centre (CHC),Kottayam,,"Pala-Ponkunam Road, Kottayam, Kerala, 686577",,,,DHC,9.6515945,76.7245092,node/2914441594,OpenStreetMap
Taluk Headquarters Hospital Pampady,Taluk Hospital,Kottayam,,"REF ID 1346, Kollam - Theni Highway, pampady, Kottayam, Kerala, 686502",+91-481-2507866,thqhpampady@gmail.com,,Department of Health and Family Welfare,9.56557,76.6456118,way/463354076,OpenStreetMap
KMCT Medical College Hospital,Medical College,Kozhikode,,"Kozhikode, Kerala, 673602",,,https://kmcthospital.com/,,11.3261076,75.9706199,node/7387916446,OpenStreetMap
Malabar Medical College Hospital,Medical College,Kozhikode,,"Kozhikode, Kerala, 673315",,,,,11.433778,75.7752608,way/372807390,OpenStreetMap
Primary Health Centre Purameri,Primary Health Centre (PHC),Kozhikode,,"Kozhikode, Kerala, 673507",,,,Department of Health and Family Welfare,11.654666,75.6972972,node/7720642287,OpenStreetMap
Primary Health Centre Tuneri,Primary Health Centre (PHC),Kozhikode,,"Kozhikode, Kerala, 673505",,,,Department of Health and Family Welfare,11.7068297,75.6323093,node/7720642281,OpenStreetMap
"Urban Primary Health Centre, Kannadikkal",Primary Health Centre (PHC),Kozhikode,,"Kannadikkal, Kozhikode, Kozhikode, Kerala, 673010",,,,,11.3066788,75.8066597,node/7723464325,OpenStreetMap
District Hospital Blood Bank Manjeri,District Hospital,Malappuram,,"Manjeri, MALAPPURAM, Kerala, 676121",+91-4832766880,,,government,11.1161394,76.1208512,node/6884943487,OpenStreetMap
"Community Health Center, Edappal",Community Health Centre (CHC),Malappuram,,"Malappuram, Kerala, 679576",,,,department of health service,10.7824283,76.0110118,node/4252095198,OpenStreetMap
Community Health Centre Tanur,Community Health Centre (CHC),Malappuram,,"Malappuram, Kerala, 676302",,,,Department of Health and Family Welfare,10.9770758,75.8711613,node/7724366163,OpenStreetMap
District Hospital Perinthalmanna,District Hospital,Malappuram,,"Malappuram, Kerala, 679322",,,,government,10.975167,76.233071,node/7724535534,OpenStreetMap
"Ernad Hospital, Manjeri",Hospital,Malappuram,,"Malappuram, Kerala, 676121",,,,government,11.118954,76.117957,node/7724535558,OpenStreetMap
Government Women and Children Hospital,Women & Children Hospital,Malappuram,,"Malappuram, Kerala, 679586",,,,,10.765961,75.9312881,node/7724366138,OpenStreetMap
P.M.S.A. Memorial Malappuram District Co-Operative Hospital Ltd.,Hospital,Malappuram,,"Malappuram, Kerala, 676505",,,,,11.0434812,76.0815152,way/371923607,OpenStreetMap
"Urban Primary Health Centre, Nilambur",Primary Health Centre (PHC),Malappuram,,"Malappuram, Kerala, 679330",,,,National Urban Health Mission,11.295778,76.261075,node/7724535546,OpenStreetMap
Community Health Centre Agali,Community Health Centre (CHC),Palakkad,,"Palakkad, Kerala, 678581",,,,Department of Health and Family Welfare,11.099014,76.643311,node/7726009227,OpenStreetMap
Community Health Centre Kongad,Community Health Centre (CHC),Palakkad,,"Palakkad, Kerala, 678592",,,,Department of Health and Family Welfare,10.8507017,76.528136,node/7726009169,OpenStreetMap
Family Health Centre Kollengode,Family Health Centre (FHC),Palakkad,,"Palakkad, Kerala, 678506",,,,,10.6147738,76.696926,node/7726064477,OpenStreetMap
Family Health Centre Ongallur,Family Health Centre (FHC),Palakkad,,"Palakkad, Kerala, 679313",,,,,10.8004111,76.225821,node/7726009182,OpenStreetMap
Government Hospital,Hospital,Palakkad,,"Palakkad, Kerala, 679337",,,,,10.8824797,76.2205802,node/7726009213,OpenStreetMap
"Primary Health Centre, Shornur-II",Primary Health Centre (PHC),Palakkad,,"Palakkad, Kerala, 679122",,,,,10.7914074,76.2733563,node/7726009189,OpenStreetMap
"Primary Health Centre, Thachampara",Primary Health Centre (PHC),Palakkad,,"Palakkad, Kerala",,,,,10.9671643,76.5615952,node/7726009171,OpenStreetMap
"General Hospital, Adoor",General Hospital,Pathanamthitta,,"Pathanamthitta, Kerala, 691523",,gshadoor@gmail.com,,Department of Health and family Welfare,9.1565678,76.7311035,way/1036449726,OpenStreetMap
Government Hospital,Hospital,Pathanamthitta,,"Pathanamthitta, Kerala, 689662",,,,,9.416252,77.06761,node/7730429722,OpenStreetMap
"MES Medical College, Perinthalmanna",Medical College,Malappuram,,"Perintalmanna, Kerala, 679338",,,http://www.mesams.com/,,10.9573785,76.1752293,way/259085490,OpenStreetMap
C.H.M.M.S.I.M.C Pangappara,Hospital,Thiruvananthapuram,,"Uliyalthura, Thiruvananthapuram, 695581",,,,Government,8.5577832,76.9033118,way/746561130,OpenStreetMap
CGHS Dispensary No.2,Govt Dispensary,Thiruvananthapuram,,"Thiruvananthapuram, Kerala, 695010",,,http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf,government,8.5132824,76.9746311,node/6954076751,OpenStreetMap
CGHS Dispensary No.3,Govt Dispensary,Thiruvananthapuram,,"Thiruvananthapuram, Kerala, 695035",,,http://nb.bsf.gov.in/CGHS%20DIspenseries.pdf,government,8.4921508,76.9440164,node/6950602003,OpenStreetMap
Community Health Centre Poovar,Community Health Centre (CHC),Thiruvananthapuram,,"Thiruvananthapuram, Kerala, 695525",,,,Department of Health services,8.3217688,77.0652875,way/730841180,OpenStreetMap
"Community Health Centre, Pulluvila",Community Health Centre (CHC),Thiruvananthapuram,,"Thiruvananthapuram, Kerala, 695026",,,,Department of Health and Family Welfare,8.345093,77.0413555,way/972292277,OpenStreetMap
Government Ayureda Dispensary poojappura,Govt Dispensary,Thiruvananthapuram,,,,,,Government,8.4841794,76.9993394,way/1066012209,OpenStreetMap
Government Hospital,Hospital,Thiruvananthapuram,,"Thiruvananthapuram, Kerala, 695523",,,,Department of Health and family Welfare,8.390114,76.9905293,node/7730027499,OpenStreetMap
Government Taluk Hospital Varkala,Taluk Hospital,Thiruvananthapuram,,"Government Taluk Hospital, Varkala - Kallambalam Road, Varkala, Thiruvananthapuram, 695141",,,,,8.7333671,76.7202832,way/1429899375,OpenStreetMap
Medical College New OP Block,Medical College,Thiruvananthapuram,,"Thiruvananthapuram, Kerala, 695023",,,,,8.5224625,76.9282145,way/386663999,OpenStreetMap
Sree Gokulam Medical College and Research Foundation,Medical College,Thiruvananthapuram,,"Thiruvananthapuram, Kerala, 695607",,,https://www.sgmc.in/,government,8.6916939,76.9140735,node/6953715830,OpenStreetMap
SUT Medical College Hospital,Medical College,Thiruvananthapuram,,"Thiruvananthapuram, Kerala, 695028",,,https://sutams.edu.in,,8.6008036,76.9703009,way/753481837,OpenStreetMap
Taluk Head Quarter Hospital Blood Bank,Taluk Hospital,Thiruvananthapuram,,"Chiryinkil, Thiruvananthapuram, Kerala, 695304",+91-4702646565,,,Department of Health and Family Welfare,8.6609709,76.7866699,node/6882704380,OpenStreetMap
Urban Primary Health Centre Attukal,Primary Health Centre (PHC),Thiruvananthapuram,,"Thiruvananthapuram, Kerala, 695023",,,,Department of Health and Family Welfare,8.476959,76.956604,node/7730027709,OpenStreetMap
Urban Primary Health Centre Kalippankulam,Primary Health Centre (PHC),Thiruvananthapuram,,"Thiruvananthapuram, Kerala, 695009",,,,Department of Health and Family Welfare,8.4668219,76.9503375,node/7730027738,OpenStreetMap
Family Health Centre Punnayur,Family Health Centre (FHC),Thrissur,,"Edakkazhiyur post, Chavakkad, Thrissur, Kerala, 680515",+91-4872616542,,,,10.6211186,75.9963307,way/827396345,OpenStreetMap
Primary Health Center Kattoor,Primary Health Centre (PHC),Thrissur,,"Thrissur, Kerala, 680702",,,,,10.3991019,76.1424123,way/827399826,OpenStreetMap
Primary Health Center Mambra,Primary Health Centre (PHC),Thrissur,,"Thrissur, Kerala",+91 480 2733169,,,government,10.2377085,76.3531888,node/7475315995,OpenStreetMap
Primary Health Centre 24*7 Arimpur,Primary Health Centre (PHC),Thrissur,,"Kanjani, thrissur, Thrissur, Kerala, 680620",,,,government,10.497812,76.154466,node/7724606873,OpenStreetMap
Taluk Head Quarters Hospital Chalakudy,Taluk Hospital,Thrissur,,"Thrissur, Kerala, 680307",,,,,10.3082038,76.3336851,way/617835570,OpenStreetMap
"Thrissur Corporation Primary Health Centre, Ayyanathole",Primary Health Centre (PHC),Thrissur,,"G57J+VF2, Ambadi Kulam Rd, Olarikkara, Thrissur, Thrissur, 680012",,,,Thrissur Corportaion,10.5144346,76.1811187,node/12117658094,OpenStreetMap
Thrissur District Co-Operative Hospital,Hospital,Thrissur,,"Thrissur, Kerala, 680001",,,,,10.5274873,76.2118857,way/625705144,OpenStreetMap
Community Health Centre Veliyanad,Community Health Centre (CHC),Alappuzha,,"kidangara, kidangara, alappuzha, kerala, 686102",,,,Department of Health and Family Welfare,9.424983,76.4895859,way/906240767,OpenStreetMap
"Urban Public Health Centre,  Cheravally",Hospital,Alappuzha,,"kayamkulam, kayamkulam, alappuzha, kerala, 690502",,,,Naional Urban Health Mission,9.1662724,76.5165957,way/801713279,OpenStreetMap
"Community Health Centre , Nedumancavu",Community Health Centre (CHC),Kollam,,"nedumankavu, nedumancavu, kollam, kerala, 651509",+91 474 2499270,www.chcnpna2011@gmail.com,,Department of Health and family Welfare,8.9288898,76.7379066,way/799243373,OpenStreetMap
Community Health Centre Nedumpana,Community Health Centre (CHC),Kollam,,"nedumpana, kollam, kerala, 691573",+91 474 2593313,www.chcnpna2011@gmail.com,,Department of Health Services,8.8896081,76.7299275,way/799243089,OpenStreetMap
"24*7 , Primary Health Centre, Aymanam",Primary Health Centre (PHC),Kottayam,,"Aymanam, kottayam, kerala, 686008",+91-481 2516149,phcaymanam@ymail.com,,Department of health services,9.6313817,76.4813889,way/800465061,OpenStreetMap
"24*7 Primary Health centre, Athirampuzha",Primary Health Centre (PHC),Kottayam,,"Nalpathimala road, Athirampuzha, kottayam, Kerala, 686562",+91-481-2730095,phcathirampuzha1@gmail.com,,department of health services,9.6658517,76.5403371,way/799119039,OpenStreetMap
"24*7 Primary Health Centre, Parampuzha",Primary Health Centre (PHC),Kottayam,,"Parampuzha, Nattassery, Kerala 686010, Parambuzha, kottayam, KERALA, 686010",+91-4812770829,parambuzhaphc829@gmail.com,,Department of health services,9.6090807,76.5553145,way/800755555,OpenStreetMap
"Community Health Centre, Karukachal",Community Health Centre (CHC),Kottayam,,"Changanassery - Vazhoor Road, Karukachal, kottayam, kerala, 686540",+91-481-2485241,mochckchal2018@gmail.com,,departmenr of health services,9.5024765,76.638354,way/864149233,OpenStreetMap
"Community Health Centre, Kumarakam",Community Health Centre (CHC),Kottayam,,"Hospital Road, Kumarakam, kottayam, kerala, 686563",+91-481-2524310,chckumarakom@gmail.com,,department of health services,9.590736,76.4390758,way/864135432,OpenStreetMap
"community health centre, Thottakad",Community Health Centre (CHC),Kottayam,,"Thottakkadu-Kangazha Road, Thottakad, kottayam, kerala, 686539",+91-481-2462370,chcthottakkadu@gmail.com,,department of health services,9.5343003,76.6059418,way/863803394,OpenStreetMap
"General Hospital, kottayam",General Hospital,Kottayam,,"Hospital Road, Kottayam, kottayam, 686001",+91-4812563611,districthospitalktm@gmail.com,,government,9.5905228,76.5260545,way/799430592,OpenStreetMap
Primary Health Centre Vakathanam,Primary Health Centre (PHC),Kottayam,,"Njaliakuzhi-Ericade Road, Vakathanam, kottayam, kerala, 686538",+91-481-2461889,vakathanamphc@gmail.com,,Department of Health and Family Welfare,9.5111579,76.5714593,way/799735579,OpenStreetMap
"Primary Health Centre, Thalayolaparambu",Primary Health Centre (PHC),Kottayam,,"PALA-VAIKOM ROAD, Thalayolaparambu, kottayam, kerala, 686605",+91-4829-237403,phcthalayolaparambu@gmail.com,,department of health services,9.78171,76.452432,way/801511366,OpenStreetMap
Taluk Headquarters Hospital Kuravilangad,Taluk Hospital,Kottayam,,"kuravilangadu, kottayam, 686633",+91-482-2231616,thkvld@gmail.com,,Department of Health Services,9.7570105,76.5551342,way/801501571,OpenStreetMap
Taluk Headquarters Hospital Vaikom,Taluk Hospital,Kottayam,,"vaikom, kottayam, kerala, 686141",+91-4829-231261,thqhvaikom41@gmail.com,,Department of Health Services,9.7503494,76.3899111,way/619023963,OpenStreetMap
"Community Health Centre, Edayazham",Community Health Centre (CHC),Kottayam,,"Vechoor - Kallara Road, edayazham, kottayan, kerala, 686144",+91-4829-276068,moedayazham@gmail.com,,DEPARTMENT OF HEALTH SERVICES,9.6870442,76.4203256,way/801508721,OpenStreetMap
Community Health Centre Koduvayur,Community Health Centre (CHC),Palakkad,,"Palakkad - Koduvayur - Meenakshipuram Road, koduvayur, palakkad, kerala, 678501",,,,Hospital,10.6891901,76.6603698,node/4935386182,OpenStreetMap
"Community Health Centre ,Chittar",Community Health Centre (CHC),Pathanamthitta,,"chittar, chittar, pathanamthitta, kerala, 689663",,,,department of health services,9.3575101,76.590204,way/671588488,OpenStreetMap
Community Health Centre Ezhumattor,Community Health Centre (CHC),Pathanamthitta,,"Ezhumattor, pathanamthitta, pathanamthitta, kerala, 689586",,,,Department of Health and Family Welfare,9.4171142,76.7059431,way/905727354,OpenStreetMap
"Family Health Centre, Kadammanitta",Family Health Centre (FHC),Pathanamthitta,,"ranni road, kallelimukku, pathanamthitta, kerala, 689649",,,,Government,9.3145586,76.7745402,way/845083133,OpenStreetMap
"Family Health Centre, Koipuram",Family Health Centre (FHC),Pathanamthitta,,"koipuram, nellickal, pathanamthitta, kerala, 689531",,,,DHS,9.3342832,76.6531449,way/790459244,OpenStreetMap
"Family Health Centre, Pandalam",Family Health Centre (FHC),Pathanamthitta,,"Pandalam - Pathanamthitta, pandalam, pathanamthitta, kerala, 689501",+91-4734 256 090,,,department of health service,9.2251728,76.6827282,way/637209907,OpenStreetMap
NSS Medical Mission Hospital Pandalam,Hospital,Pathanamthitta,,"MC Road, PANDALAM, pathanamthitta, kerala, 689501",,,,depaartment of health,9.2159105,76.6804273,way/834208922,OpenStreetMap
primary health centre kokkathod,Primary Health Centre (PHC),Pathanamthitta,,"aruvappulam, pathanamthitta, kerala, 689699",,,,health centre,9.1984498,76.9786924,way/905830928,OpenStreetMap
"Primary Health Centre, Angamoozhy",Primary Health Centre (PHC),Pathanamthitta,,"Angamoozhy Bridge, Angamoozhy, pathanamthitta, kerala, 689662",,,,department of health services,9.3578195,76.9868081,way/800639610,OpenStreetMap
"Primary Health Centre, Chittar",Primary Health Centre (PHC),Pathanamthitta,,"chittar, chittar, pathanamthitta, kerala, 689662",,,,Department of Health and Family Welfare,9.3516145,76.9852278,way/905691338,OpenStreetMap
